Level,User Name,Points,Activity,Reputation,Points for user,Points for threads,Points for posts,Points for miscellaneous
46,Philips - Ina,22602,0%,10,1251,15525,5825,0
29,Philips - Benedickte,9766,0%,10,940,6618,2208,0
29,Philips ┬Ц Johann,9579,0%,10,507,7469,1603,0
12,test_user,1897,0%,10,1897,0,0,0
11,sietskesijbrandi,1838,0%,10,1838,0,0,0
11,marktullemans,1838,0%,10,1838,0,0,0
11,karinroozen,1838,0%,10,1838,0,0,0
11,dannycoppens,1838,0%,10,1838,0,0,0
11,marijndamstra,1838,0%,10,1838,0,0,0
13,Robert Jansen,2250,0%,10,1811,432,6,0
12,emielrijswijk,1874,0%,10,1811,60,2,0
11,Ilse de Rooi,1824,0%,10,1815,3,6,0
11,Ramya,1810,0%,10,1810,0,0,0
11,Rob vd Ven,1803,0%,10,1803,0,0,0
15,peu306cabrio,2856,0%,10,1841,977,38,0
12,JuAn,2068,0%,10,1860,116,92,0
12,IceDragon,1935,0%,10,1799,123,12,0
12,Samsonite,1881,0%,10,1797,31,52,0
12,joost,1936,0%,10,1797,133,6,0
11,Tim,1805,0%,10,1797,1,6,0
16,DellUser,3326,0%,10,2222,869,235,0
16,JohnnyQ,3306,0%,10,1795,1315,195,0
11,MisterT,1788,0%,10,1788,0,0,0
11,Formaad,1787,0%,10,1787,0,0,0
11,Brico,1835,0%,10,1797,35,2,0
11,Karin,1795,0%,10,1795,0,0,0
11,Floris,1785,0%,10,1785,0,0,0
12,guilherme,1906,0%,10,1785,119,2,0
11,Philipsfan,1783,0%,10,1783,0,0,0
11,Cobalt,1826,0%,10,1816,4,6,0
